2016-09-15 17:11:33.9788	IDEAL PATH Gaze Factor	-0.0231297712236641	=	0.0231297712236641	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:43.4830
2016-09-15 17:11:33.9788	IDEAL PATH Gaze Factor	-0.0228984735114275	=	0.0228984735114275	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:43.7510
2016-09-15 17:11:33.9788	IDEAL PATH Gaze Factor	-0.0233610689359008	=	0.0233610689359008	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:43.8820
2016-09-15 17:11:33.9788	IDEAL PATH Gaze Factor	-0.0265992369072137	=	0.0265992369072137	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:44.4990
2016-09-15 17:11:33.9788	IDEAL PATH Gaze Factor	-0.0501916035553511	=	0.0501916035553511	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:44.6980
2016-09-15 17:11:33.9788	IDEAL PATH Gaze Factor	-0.0346946568354962	=	0.0346946568354962	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:44.9310
2016-09-15 17:11:33.9788	IDEAL PATH Gaze Factor	-0.0344633591232595	=	0.0344633591232595	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:45.1650
2016-09-15 17:11:33.9788	IDEAL PATH Gaze Factor	-0.027061832331687	=	0.027061832331687	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:45.3300
2016-09-15 17:11:33.9788	IDEAL PATH Gaze Factor	-0.0504229012675878	=	0.0504229012675878	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:45.5300
2016-09-15 17:11:33.9788	IDEAL PATH Gaze Factor	-0.0538923669511374	=	0.0538923669511374	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:45.7650
2016-09-15 17:11:33.9788	IDEAL PATH Gaze Factor	-0.0235923666481374	=	0.0235923666481374	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:46.0130
2016-09-15 17:11:33.9788	IDEAL PATH Gaze Factor	-0.0268305346194504	=	0.0268305346194504	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:46.1980
2016-09-15 17:11:33.9788	IDEAL PATH Gaze Factor	-0.0231297712236641	=	0.0231297712236641	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:46.5140
2016-09-15 17:11:33.9788	IDEAL PATH Gaze Factor	-0.0233610689359008	=	0.0233610689359008	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:46.6300
